school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
s0309,FIDEL CASTRO SECONDARY SCHOOL,False,KUSINI PEMBA,2.4386,,209.0,209.0,0.0,209.0,0.0,0.0,209.0,91.0,104.0,14.0,0.0,0.0,,,
p1409,FUTURE WORLD HAGAFILO SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p5527,FASU MODERN EDUCATION CENTRE,True,,,,,,,,,,,,,,,,,,
s1285,FLORIAN SECONDARY SCHOOL,False,ARUSHA,3.3183,,133.0,133.0,0.0,133.0,0.0,0.0,133.0,6.0,62.0,64.0,1.0,0.0,42,682,0:1
s0759,GAIRO SECONDARY SCHOOL,False,MOROGORO,2.6218,,78.0,78.0,0.0,78.0,0.0,0.0,78.0,24.0,48.0,6.0,0.0,0.0,,,
p1495,GENESIS HIGH SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s4472,GOD'S BRIDGE SECONDARY SCHOOL,False,MBEYA,2.8013,,26.0,26.0,0.0,26.0,0.0,0.0,26.0,7.0,13.0,6.0,0.0,0.0,,,
s0142,GALANOS SECONDARY SCHOOL,False,TANGA,2.4054,,421.0,430.0,9.0,421.0,0.0,0.0,421.0,225.0,142.0,53.0,1.0,0.0,890,60,15:1
s0291,GHOMME SECONDARY SCHOOL,False,DAR ES SALAAM,1.951,,17.0,18.0,1.0,17.0,0.0,0.0,17.0,11.0,6.0,0.0,0.0,0.0,200,18,11:1
p2178,GOLDEN RIDGE HIGH SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s2433,GANAKO SECONDARY SCHOOL,False,ARUSHA,2.1899,,86.0,86.0,0.0,86.0,0.0,0.0,86.0,54.0,31.0,1.0,0.0,0.0,,,
s4828,GILGAL SECONDARY SCHOOL,False,NJOMBE,2.5185,,9.0,10.0,0.0,10.0,1.0,0.0,9.0,3.0,6.0,0.0,0.0,0.0,,,
s2178,GOLDEN RIDGE SECONDARY SCHOOL,False,GEITA,2.2538,,44.0,44.0,0.0,44.0,0.0,0.0,44.0,25.0,18.0,1.0,0.0,0.0,600,60,10:1
s1205,GEHANDU SECONDARY SCHOOL,False,MANYARA,2.4835,,131.0,131.0,0.0,131.0,0.0,0.0,131.0,49.0,79.0,3.0,0.0,0.0,,,
p4828,GILGAL SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s4862,GOMBE HIGH SCHOOL,False,KIGOMA,2.3438,,16.0,16.0,0.0,16.0,0.0,0.0,16.0,8.0,8.0,0.0,0.0,0.0,,,
s4854,GEITA ADVENTIST SECONDARY SCHOOL,False,GEITA,2.5776,,73.0,73.0,0.0,73.0,0.0,0.0,73.0,30.0,30.0,13.0,0.0,0.0,,,
s4565,GILI SECONDARY SCHOOL,False,PWANI,2.4636,,87.0,87.0,0.0,87.0,0.0,0.0,87.0,39.0,35.0,13.0,0.0,0.0,300,30,10:1
s2516,GRACE SECONDARY SCHOOL,False,PWANI,2.3056,,12.0,12.0,0.0,12.0,0.0,0.0,12.0,7.0,5.0,0.0,0.0,0.0,320,16,20:1
s0386,GEITA SECONDARY SCHOOL,False,GEITA,2.2464,,255.0,259.0,4.0,255.0,0.0,0.0,255.0,157.0,93.0,5.0,0.0,0.0,,,
s4340,GIRANGO SECONDARY SCHOOL,False,MARA,2.7235,,44.0,44.0,0.0,44.0,0.0,0.0,44.0,8.0,32.0,4.0,0.0,0.0,,,
s1197,GREEN ACRES SECONDARY SCHOOL,False,DAR ES SALAAM,3.5833,,10.0,10.0,0.0,10.0,0.0,0.0,10.0,1.0,2.0,7.0,0.0,0.0,300,30,10:1
p0386,GEITA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s0275,GLENRONS GIRLS' SECONDARY SCHOOL,False,DAR ES SALAAM,2.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
s5196,GREEN CITY SECONDARY SCHOOL,False,MOROGORO,2.4935,,51.0,53.0,0.0,53.0,2.0,0.0,51.0,19.0,31.0,1.0,0.0,0.0,,,
